feature,parity,scale_class,conjugate,measured_on
directional_change.idc_parse@t_dc0,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
directional_change.idc_parse@upturn_dc,one-sided,unscored,directional_change.dc_live_features@downward_dcc,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
microstructure.liquidity.liquidity_resilience@half_life,mixed,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
microstructure.liquidity.liquidity_resilience@phi,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
microstructure.price_structure.close_open_gap_analysis@gap,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
microstructure.price_structure.close_open_gap_analysis@gap_fill_ratio,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@adx,even,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@aggregate_m,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@cci_24,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@dei,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@dei_diff,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@dei_signal,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@detrended_price,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@dti,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@ema_residual,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@exponential_velocity,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@high_proximity,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@jerk,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@lagged_delta_returns,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@lagged_return,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@log_returns,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@macd_hist,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@macd_line,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@macd_signal,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@mean_adjusted_ratio,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@minus_di,one-sided,scale-free,momentum.core_momentum_features@plus_di,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@momentum,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@momentum_acceleration,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@momentum_volatility_ratio,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@plus_di,one-sided,scale-free,momentum.core_momentum_features@minus_di,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@pr_skip,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@roc,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@roc_divergence,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@roc_raw,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@roc_signal,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@roc_velocity,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@rolling_high_proximity,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@rolling_sharpe,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@rolling_slope,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@rsi,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@session_high_low_pct,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@smi,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@smi_diff,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@smi_signal,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@stochastic_k,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@stochastic_signal,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@sustained_velocity,odd,scale-carrying,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
momentum.core_momentum_features@trend_quality,odd,scale-free,,"FXPIG-Server M5, 6 symbols (BTCUSDT.r, EURUSD.r, GBPUSD.r, US500.r, USDJPY.r, XAUUSD.r), 20000 bars/symbol, 2026-09-04; generic binder params (period=20) except metastore-tuned entries"
